Sample	Species	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
MR130386-1	Acinetobacter baumannii		NODE_3_length_273006_cov_52.784817	24761	25582	+	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66		
MR130386-1	Acinetobacter baumannii		NODE_3_length_273006_cov_52.784817	262080	263366	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	429	429	100.0	100.0	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
MR130386-1	Acinetobacter baumannii		NODE_49_length_2698_cov_84.467911	161	979	+	blaOXA-23	carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	carbapenem-hydrolyzing class D beta-lactamase OXA-23		
MR130386-1	Acinetobacter baumannii		NODE_56_length_1574_cov_76.492063	20	877	-	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
MR130386-1	Acinetobacter baumannii		NODE_57_length_1507_cov_67.809420	194	1006	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia		
MR130386-1	Acinetobacter baumannii		NODE_58_length_1412_cov_67.976654	143	955	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
MR130386-1	Acinetobacter baumannii		NODE_7_length_220283_cov_57.826602	123831	126542	-	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
MR130386-2	Acinetobacter baumannii		NODE_14_length_113508_cov_53.849375	29533	30780	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	98.32	416	ADY84088.1	nickel resistance MFS transporter NreB		
MR130386-2	Acinetobacter baumannii		NODE_15_length_88119_cov_60.550459	34713	35498	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
MR130386-2	Acinetobacter baumannii		NODE_17_length_65664_cov_64.535224	128	1327	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	400	401	99.75	100.0	400	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)		
MR130386-2	Acinetobacter baumannii		NODE_17_length_65664_cov_64.535224	4703	5536	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
MR130386-2	Acinetobacter baumannii		NODE_17_length_65664_cov_64.535224	5539	6339	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
MR130386-2	Acinetobacter baumannii		NODE_1_length_306926_cov_45.717219	188998	190473	+	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	98.98	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
MR130386-2	Acinetobacter baumannii		NODE_20_length_58002_cov_43.579162	137	1285	+	blaADC-30	class C extended-spectrum beta-lactamase ADC-30	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211218.1	class C extended-spectrum beta-lactamase ADC-30		
MR130386-2	Acinetobacter baumannii		NODE_21_length_52331_cov_40.437917	12312	13706	-	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	465	465	100.0	100.0	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
MR130386-2	Acinetobacter baumannii		NODE_28_length_31969_cov_65.171409	10775	12991	-	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.86	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
MR130386-2	Acinetobacter baumannii		NODE_2_length_306437_cov_44.019608	9639	10925	-	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	429	429	100.0	100.0	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
MR130386-2	Acinetobacter baumannii		NODE_2_length_306437_cov_44.019608	247423	248244	-	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66		
MR130386-2	Acinetobacter baumannii		NODE_3_length_285246_cov_46.650735	29342	32053	+	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
MR130386-2	Acinetobacter baumannii		NODE_45_length_9055_cov_78.297939	1346	2182	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
MR130386-2	Acinetobacter baumannii		NODE_45_length_9055_cov_78.297939	2179	2523	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
MR130386-2	Acinetobacter baumannii		NODE_45_length_9055_cov_78.297939	2690	3478	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1		
MR130386-2	Acinetobacter baumannii		NODE_45_length_9055_cov_78.297939	5063	5524	-	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	154	154	100.0	100.0	154	WP_002089484.1	aminoglycoside N-acetyltransferase AAC(3)-Ia		
MR130386-2	Acinetobacter baumannii		NODE_56_length_2445_cov_129.726672	35	853	+	blaOXA-23	carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	carbapenem-hydrolyzing class D beta-lactamase OXA-23		
MR130386-2	Acinetobacter baumannii		NODE_61_length_1574_cov_78.594944	698	1555	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
MR130386-2	Acinetobacter baumannii		NODE_63_length_1415_cov_89.129658	458	1270	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
MR130386-2	Acinetobacter baumannii		NODE_66_length_1146_cov_113.570167	151	927	-	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.61	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa		
NL160346	Acinetobacter baumannii		NODE_14_length_95335_cov_52.745284	29492	30739	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	97.6	416	ADY84088.1	nickel resistance MFS transporter NreB		
NL160346	Acinetobacter baumannii		NODE_24_length_62937_cov_49.766789	20011	21297	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	429	429	100.0	100.0	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
NL160346	Acinetobacter baumannii		NODE_25_length_62353_cov_45.793414	54200	55348	+	blaADC-76	class C extended-spectrum beta-lactamase ADC-76	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211237.1	class C extended-spectrum beta-lactamase ADC-76		
NL160346	Acinetobacter baumannii		NODE_32_length_46389_cov_43.072046	20035	21510	-	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	98.37	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
NL160346	Acinetobacter baumannii		NODE_39_length_35896_cov_42.066538	18456	19277	+	blaOXA-68	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68		
NL160346	Acinetobacter baumannii		NODE_40_length_35822_cov_42.815969	31409	32803	+	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	465	465	100.0	97.2	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
NL160346	Acinetobacter baumannii		NODE_47_length_26343_cov_58.097078	5166	7382	-	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.86	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
NL160346	Acinetobacter baumannii		NODE_4_length_151935_cov_46.071077	138321	141032	-	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	1098	1547	+	arr-2	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	ALLELEX	150	150	100.0	100.0	150	WP_000237816.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-2		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	1871	3127	+	cmlA5	chloramphenicol efflux MFS transporter CmlA5	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	419	419	100.0	100.0	419	WP_012300772.1	chloramphenicol efflux MFS transporter CmlA5		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	3322	3666	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	3663	4499	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	9184	9954	+	armA	ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	257	257	100.0	100.0	257	WP_000359986.1	ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	12256	13728	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)		
NL160346	Acinetobacter baumannii		NODE_56_length_16520_cov_91.709205	13787	14668	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase		
NL160346	Acinetobacter baumannii		NODE_84_length_2698_cov_59.924543	161	979	+	blaOXA-23	carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	carbapenem-hydrolyzing class D beta-lactamase OXA-23		
NL160346	Acinetobacter baumannii		NODE_86_length_2639_cov_87.954618	1217	2419	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.0	100.0	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)		
NL160346	Acinetobacter baumannii		NODE_94_length_1660_cov_137.714938	14	847	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
NL160346	Acinetobacter baumannii		NODE_94_length_1660_cov_137.714938	850	1650	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
NL160346	Acinetobacter baumannii		NODE_96_length_1459_cov_44.721471	220	996	+	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.23	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa		
NL160346	Acinetobacter baumannii		NODE_99_length_1288_cov_210.404823	19	831	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
NL160346	Acinetobacter baumannii		NODE_9_length_118497_cov_59.404638	109158	109943	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
NL160346	Acinetobacter baumannii		NODE_9_length_118497_cov_59.404638	109158	109943	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279068.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
PY1604385	Acinetobacter baumannii		NODE_101_length_1660_cov_172.361383	14	847	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
PY1604385	Acinetobacter baumannii		NODE_101_length_1660_cov_172.361383	850	1650	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
PY1604385	Acinetobacter baumannii		NODE_103_length_1460_cov_52.289572	220	996	+	aph(3')-VIa	aminoglycoside O-phosphotransferase APH(3')-VIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	259	259	100.0	99.23	259	WP_000422636.1	aminoglycoside O-phosphotransferase APH(3')-VIa		
PY1604385	Acinetobacter baumannii		NODE_105_length_1288_cov_253.739018	458	1270	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
PY1604385	Acinetobacter baumannii		NODE_14_length_95335_cov_62.383970	64597	65844	-	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	97.6	416	ADY84088.1	nickel resistance MFS transporter NreB		
PY1604385	Acinetobacter baumannii		NODE_23_length_62939_cov_55.036729	20011	21297	+	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	429	429	100.0	100.0	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF		
PY1604385	Acinetobacter baumannii		NODE_24_length_62353_cov_51.522483	54200	55348	+	blaADC-76	class C extended-spectrum beta-lactamase ADC-76	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211237.1	class C extended-spectrum beta-lactamase ADC-76		
PY1604385	Acinetobacter baumannii		NODE_33_length_46389_cov_47.557369	20035	21510	-	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	98.37	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
PY1604385	Acinetobacter baumannii		NODE_3_length_151935_cov_53.978967	10904	13615	+	gyrA_S81L	Acinetobacter baumannii quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	904	904	100.0	99.78	904	WP_000116450.1	DNA gyrase subunit A GyrA		
PY1604385	Acinetobacter baumannii		NODE_41_length_35896_cov_44.674439	18456	19277	+	blaOXA-68	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.0	100.0	274	WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68		
PY1604385	Acinetobacter baumannii		NODE_42_length_35822_cov_46.199804	3020	4414	-	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	465	465	100.0	97.2	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
PY1604385	Acinetobacter baumannii		NODE_49_length_26342_cov_67.648102	5165	7381	-	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.86	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	1853	2734	-	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	2793	4265	-	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	6567	7337	-	armA	ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	257	257	100.0	100.0	257	WP_000359986.1	ArmA family 16S rRNA (guanine(1405)-N(7))-methyltransferase		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	12022	12858	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	12855	13199	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	13394	14650	-	cmlA5	chloramphenicol efflux MFS transporter CmlA5	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	419	419	100.0	100.0	419	WP_012300772.1	chloramphenicol efflux MFS transporter CmlA5		
PY1604385	Acinetobacter baumannii		NODE_58_length_16520_cov_105.273226	14974	15423	-	arr-2	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	ALLELEX	150	150	100.0	100.0	150	WP_000237816.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-2		
PY1604385	Acinetobacter baumannii		NODE_88_length_2698_cov_231.578374	1720	2538	-	blaOXA-23	carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.0	100.0	273	WP_001046004.1	carbapenem-hydrolyzing class D beta-lactamase OXA-23		
PY1604385	Acinetobacter baumannii		NODE_8_length_118497_cov_71.169477	8555	9340	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
PY1604385	Acinetobacter baumannii		NODE_8_length_118497_cov_71.169477	8555	9340	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279068.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
PY1604385	Acinetobacter baumannii		NODE_93_length_2639_cov_108.401274	1217	2419	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.0	100.0	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)		
CDO160115	Clostridioides difficile		NODE_17_length_71336_cov_44.539440	10378	11076	+	vanR-Cd	VanG-Cd-type vancomycin resistance DNA-binding response regulator VanR	plus	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	233	233	100.0	100.0	233	AXB64454.1	VanG-Cd-type vancomycin resistance DNA-binding response regulator VanR		
